Iterations,Accuracy
454,0.603175
455,0.587302
456,0.619048
457,0.603175
458,0.603175
459,0.603175
460,0.603175
461,0.603175
462,0.619048
463,0.619048
464,0.603175
465,0.650794
466,0.571429
467,0.587302
468,0.603175
469,0.603175
470,0.603175
471,0.603175
472,0.603175
473,0.603175
474,0.603175
475,0.603175
476,0.619048
477,0.650794
478,0.603175
479,0.603175
480,0.603175
481,0.603175
482,0.587302
483,0.587302
484,0.619048
485,0.603175
486,0.603175
487,0.603175
488,0.603175
489,0.603175
490,0.587302
491,0.619048
492,0.603175
493,0.603175
494,0.603175
495,0.603175
496,0.603175
497,0.587302
498,0.603175
499,0.587302
500,0.603175
501,0.603175
502,0.587302
503,0.587302
504,0.555556
505,0.587302
506,0.587302
507,0.603175
508,0.587302
509,0.603175
510,0.603175
511,0.603175
512,0.619048
513,0.587302
514,0.634921
515,0.603175
516,0.603175
517,0.619048
518,0.571429
519,0.587302
520,0.698413
521,0.603175
522,0.603175
523,0.619048
524,0.603175
525,0.603175
526,0.603175
527,0.603175
528,0.603175
529,0.650794
530,0.650794
531,0.603175
532,0.587302
533,0.650794
534,0.603175
535,0.603175
536,0.603175
537,0.619048
538,0.603175
539,0.603175
540,0.587302
541,0.603175
542,0.603175
543,0.68254
544,0.603175
545,0.619048
546,0.603175
547,0.619048
548,0.603175
549,0.603175
550,0.603175
551,0.619048
552,0.587302
553,0.650794
554,0.603175
555,0.587302
556,0.571429
557,0.603175
558,0.587302
559,0.603175
560,0.587302
561,0.634921
562,0.587302
563,0.68254
564,0.619048
565,0.603175
566,0.603175
567,0.666667
568,0.603175
569,0.68254
570,0.603175
571,0.603175
572,0.603175
573,0.603175
574,0.666667
575,0.603175
576,0.666667
577,0.603175
578,0.603175
579,0.603175
580,0.634921
581,0.603175
582,0.587302
583,0.603175
584,0.603175
585,0.603175
586,0.587302
587,0.587302
588,0.603175
589,0.68254
590,0.603175
591,0.619048
592,0.603175
593,0.619048
594,0.603175
595,0.603175
596,0.603175
597,0.603175
598,0.666667
599,0.68254
600,0.587302
601,0.666667
602,0.587302
603,0.603175
604,0.587302
605,0.650794
606,0.587302
607,0.666667
608,0.603175
609,0.603175
610,0.587302
611,0.587302
612,0.68254
613,0.619048
614,0.68254
615,0.587302
616,0.603175
617,0.619048
618,0.68254
619,0.68254
620,0.68254
621,0.666667
622,0.587302
623,0.68254
624,0.603175
625,0.587302
626,0.68254
627,0.619048
628,0.650794
629,0.68254
630,0.603175
631,0.603175
632,0.603175
633,0.571429
634,0.634921
635,0.603175
636,0.619048
637,0.603175
638,0.603175
639,0.68254
640,0.746032
641,0.603175
642,0.603175
643,0.603175
644,0.714286
645,0.603175
646,0.603175
647,0.619048
648,0.603175
649,0.587302
650,0.619048
651,0.587302
652,0.587302
653,0.68254
654,0.619048
655,0.603175
656,0.68254
657,0.603175
658,0.603175
659,0.603175
660,0.587302
661,0.619048
662,0.619048
663,0.603175
664,0.587302
665,0.587302
666,0.603175
667,0.587302
668,0.698413
669,0.587302
670,0.571429
671,0.603175
672,0.603175
673,0.587302
674,0.587302
675,0.587302
676,0.666667
677,0.587302
678,0.587302
679,0.587302
680,0.587302
681,0.634921
682,0.698413
683,0.714286
684,0.603175
685,0.587302
686,0.587302
687,0.587302
688,0.603175
689,0.603175
690,0.587302
691,0.587302
692,0.587302
693,0.603175
694,0.587302
695,0.587302
696,0.587302
697,0.619048
698,0.714286
699,0.587302
700,0.587302
701,0.603175
702,0.571429
703,0.603175
704,0.587302
705,0.587302
706,0.730159
707,0.603175
708,0.698413
709,0.571429
710,0.587302
711,0.587302
712,0.634921
713,0.603175
714,0.650794
715,0.698413
716,0.730159
717,0.714286
718,0.619048
719,0.714286
720,0.714286
721,0.587302
722,0.587302
723,0.603175
724,0.587302
725,0.714286
726,0.603175
727,0.603175
728,0.571429
729,0.666667
730,0.650794
731,0.587302
732,0.587302
733,0.730159
734,0.587302
735,0.587302
736,0.587302
737,0.587302
738,0.698413
739,0.698413
740,0.603175
741,0.698413
742,0.587302
743,0.587302
744,0.587302
745,0.650794
746,0.587302
747,0.698413
748,0.571429
749,0.666667
750,0.587302
751,0.587302
752,0.587302
753,0.666667
754,0.603175
755,0.587302
756,0.587302
757,0.603175
758,0.587302
759,0.603175
760,0.587302
761,0.587302
762,0.587302
763,0.587302
764,0.714286
765,0.587302
766,0.587302
767,0.68254
768,0.587302
769,0.587302
770,0.587302
771,0.68254
772,0.587302
773,0.603175
774,0.587302
775,0.587302
776,0.587302
777,0.587302
778,0.571429
779,0.587302
780,0.587302
781,0.587302
782,0.730159
783,0.730159
784,0.571429
785,0.714286
786,0.587302
787,0.666667
788,0.714286
789,0.587302
790,0.603175
791,0.714286
792,0.730159
793,0.587302
794,0.571429
795,0.587302
796,0.587302
797,0.587302
798,0.587302
799,0.587302
800,0.603175
801,0.587302
802,0.587302
803,0.587302
804,0.587302
805,0.666667
806,0.603175
807,0.571429
808,0.587302
809,0.68254
810,0.571429
811,0.587302
812,0.714286
813,0.587302
814,0.587302
815,0.587302
816,0.587302
817,0.587302
818,0.730159
819,0.730159
820,0.587302
821,0.587302
822,0.714286
823,0.587302
824,0.714286
825,0.666667
826,0.746032
827,0.587302
828,0.714286
829,0.746032
830,0.587302
831,0.587302
832,0.603175
833,0.587302
834,0.587302
835,0.714286
836,0.714286
837,0.587302
838,0.587302
839,0.587302
840,0.746032
841,0.587302
842,0.571429
843,0.587302
844,0.587302
845,0.571429
846,0.571429
847,0.587302
848,0.587302
849,0.587302
850,0.587302
851,0.571429
852,0.603175
853,0.587302
854,0.714286
855,0.730159
856,0.587302
857,0.587302
858,0.587302
859,0.555556
860,0.746032
861,0.571429
862,0.587302
863,0.714286
864,0.698413
865,0.587302
866,0.571429
867,0.587302
868,0.714286
869,0.714286
870,0.587302
871,0.587302
872,0.571429
873,0.571429
874,0.698413
875,0.571429
876,0.587302
877,0.587302
878,0.587302
879,0.714286
880,0.587302
881,0.587302
882,0.571429
883,0.714286
884,0.587302
885,0.571429
886,0.587302
887,0.714286
888,0.714286
889,0.555556
890,0.746032
891,0.571429
892,0.587302
893,0.587302
894,0.587302
895,0.587302
896,0.587302
897,0.714286
898,0.555556
899,0.571429
900,0.587302
901,0.587302
902,0.587302
903,0.571429
904,0.571429
905,0.587302
906,0.587302
907,0.587302
908,0.587302
909,0.666667
910,0.555556
911,0.666667
912,0.587302
913,0.68254
914,0.68254
915,0.571429
916,0.571429
917,0.571429
918,0.571429
919,0.714286
920,0.571429
921,0.587302
922,0.587302
923,0.714286
924,0.587302
925,0.571429
926,0.587302
927,0.587302
928,0.571429
929,0.555556
930,0.587302
931,0.571429
932,0.571429
933,0.555556
934,0.714286
935,0.730159
936,0.587302
937,0.571429
938,0.698413
939,0.714286
940,0.571429
941,0.587302
942,0.555556
943,0.571429
944,0.587302
945,0.698413
946,0.555556
947,0.571429
948,0.698413
949,0.571429
950,0.698413
951,0.571429
952,0.571429
953,0.730159
954,0.555556
955,0.714286
956,0.714286
957,0.571429
958,0.730159
959,0.555556
960,0.571429
961,0.571429
962,0.571429
963,0.587302
964,0.587302
965,0.571429
966,0.555556
967,0.571429
968,0.587302
969,0.555556
970,0.571429
971,0.714286
972,0.698413
973,0.698413
974,0.571429
975,0.698413
976,0.587302
977,0.571429
978,0.571429
979,0.634921
980,0.571429
981,0.730159
982,0.571429
983,0.698413
984,0.555556
985,0.714286
986,0.714286
987,0.698413
988,0.68254
989,0.571429
990,0.555556
991,0.571429
992,0.571429
993,0.634921
994,0.571429
995,0.714286
996,0.571429
997,0.68254
998,0.698413
999,0.714286
1000,0.571429
1001,0.68254
1002,0.587302
1003,0.571429
1004,0.539683
1005,0.555556
1006,0.68254
1007,0.571429
1008,0.571429
1009,0.587302
1010,0.587302
1011,0.698413
1012,0.571429
1013,0.68254
1014,0.571429
1015,0.714286
1016,0.571429
1017,0.571429
1018,0.571429
1019,0.68254
1020,0.571429
1021,0.68254
1022,0.555556
1023,0.571429
1024,0.68254
1025,0.555556
1026,0.587302
1027,0.555556
1028,0.68254
1029,0.555556
1030,0.555556
1031,0.571429
1032,0.539683
1033,0.555556
1034,0.539683
1035,0.698413
1036,0.634921
1037,0.571429
1038,0.555556
1039,0.571429
1040,0.603175
1041,0.571429
1042,0.698413
1043,0.571429
1044,0.571429
1045,0.555556
1046,0.698413
1047,0.555556
1048,0.571429
1049,0.571429
1050,0.68254
1051,0.714286
1052,0.571429
1053,0.571429
1054,0.571429
1055,0.68254
1056,0.555556
1057,0.571429
1058,0.555556
1059,0.555556
1060,0.571429
1061,0.571429
